,realSum_wd,room_type,person_capacity,host_is_superhost,cleanliness_rating,guest_satisfaction_overall,bedrooms,lng,lat,realSum_we,city,distance,metro_distance,biz_type,booking_days
17058,515.53,Entire home/apt,4.0,False,9.0,86.0,2,-0.08482,51.5282,,london,3.7,0.3,biz,weekdays only
17059,167.92,Private room,3.0,False,10.0,96.0,1,-0.10952,51.50147,167.69,london,1.5,0.3,multi,any day
17060,511.54,Entire home/apt,6.0,False,6.0,70.0,2,-0.14415,51.53863,,london,3.6,0.1,biz,weekdays only
17061,400.53,Entire home/apt,2.0,False,7.0,71.0,1,-0.18679,51.48571,437.92,london,4.8,0.6,biz,any day
17062,153.81,Private room,2.0,False,8.0,89.0,1,-0.0063,51.50424,,london,8.4,0.8,biz,weekdays only
17063,359.37,Entire home/apt,4.0,False,8.0,74.0,2,-0.1899,51.51723,,london,4.4,0.3,biz,weekdays only
17064,133.35,Private room,2.0,False,8.0,82.0,1,-0.09759,51.49721,,london,2.4,0.3,biz,weekdays only
17065,219.67,Private room,3.0,False,8.0,78.0,1,-0.1415799999999999,51.49299,219.9,london,2.0,0.3,biz,any day
17066,232.6,Private room,4.0,False,8.0,84.0,1,-0.1411599999999999,51.49251,233.07,london,2.0,0.4,biz,any day
17067,193.8,Private room,2.0,False,9.0,78.0,1,-0.14184,51.49185,194.03,london,2.1,0.4,biz,any day
17068,317.98,Entire home/apt,2.0,False,9.0,93.0,1,-0.12892,51.51164,,london,0.4,0.1,one,weekdays only
17069,620.19,Entire home/apt,2.0,False,9.0,86.0,1,-0.14088,51.51945,,london,1.5,0.5,multi,weekdays only
17070,503.77,Entire home/apt,6.0,False,9.0,88.0,3,-0.03768,51.53301,,london,6.8,0.9,biz,weekdays only
17071,322.91,Entire home/apt,2.0,False,10.0,100.0,1,-0.0742,51.5214,322.21,london,4.0,0.6,one,any day
17072,252.12,Entire home/apt,4.0,False,10.0,100.0,0,-0.0238099999999999,51.54292,265.29,london,8.2,1.4,one,any day
